ID,DateTime,Year,Month,Day,Hour,Temperature
108,05/10/2016 11:00,2016,10,5,11,13.7
109,05/10/2016 12:00,2016,10,5,12,13.7
110,05/10/2016 13:00,2016,10,5,13,13.5
111,05/10/2016 14:00,2016,10,5,14,13.6
112,05/10/2016 15:00,2016,10,5,15,13.4
113,05/10/2016 16:00,2016,10,5,16,12.8
114,05/10/2016 17:00,2016,10,5,17,12.2
115,05/10/2016 18:00,2016,10,5,18,11.8
116,05/10/2016 19:00,2016,10,5,19,12
117,05/10/2016 20:00,2016,10,5,20,12.2
118,05/10/2016 21:00,2016,10,5,21,11.4
119,05/10/2016 22:00,2016,10,5,22,11.3
120,05/10/2016 23:00,2016,10,5,23,11.3
121,06/10/2016 00:00,2016,10,6,0,11.3
122,06/10/2016 01:00,2016,10,6,1,11.5
123,06/10/2016 02:00,2016,10,6,2,11.7
124,06/10/2016 03:00,2016,10,6,3,11.3
125,06/10/2016 04:00,2016,10,6,4,10.6
126,06/10/2016 05:00,2016,10,6,5,10.5
127,06/10/2016 06:00,2016,10,6,6,10.2
128,06/10/2016 07:00,2016,10,6,7,10.2
129,06/10/2016 08:00,2016,10,6,8,10.7
130,06/10/2016 09:00,2016,10,6,9,11.6
131,06/10/2016 10:00,2016,10,6,10,12.3
132,06/10/2016 11:00,2016,10,6,11,13
133,06/10/2016 12:00,2016,10,6,12,12.8
134,06/10/2016 13:00,2016,10,6,13,12.9
135,06/10/2016 14:00,2016,10,6,14,12.5
136,06/10/2016 15:00,2016,10,6,15,12.7
137,06/10/2016 16:00,2016,10,6,16,11.4
138,06/10/2016 17:00,2016,10,6,17,10.2
139,06/10/2016 18:00,2016,10,6,18,8.8
140,06/10/2016 19:00,2016,10,6,19,8.5
141,06/10/2016 20:00,2016,10,6,20,7.9
142,06/10/2016 21:00,2016,10,6,21,7.6
143,06/10/2016 22:00,2016,10,6,22,6.7
144,06/10/2016 23:00,2016,10,6,23,7.2
145,07/10/2016 00:00,2016,10,7,0,7.4
146,07/10/2016 01:00,2016,10,7,1,7.7
147,07/10/2016 02:00,2016,10,7,2,7.3
148,07/10/2016 03:00,2016,10,7,3,7.2
149,07/10/2016 04:00,2016,10,7,4,7
150,07/10/2016 05:00,2016,10,7,5,8
151,07/10/2016 06:00,2016,10,7,6,8
152,07/10/2016 07:00,2016,10,7,7,6.9
153,07/10/2016 08:00,2016,10,7,8,8.2
154,07/10/2016 09:00,2016,10,7,9,11.7
155,07/10/2016 10:00,2016,10,7,10,12.9
156,07/10/2016 11:00,2016,10,7,11,12.8
157,07/10/2016 12:00,2016,10,7,12,13
158,07/10/2016 13:00,2016,10,7,13,13.4
159,07/10/2016 14:00,2016,10,7,14,13.2
160,07/10/2016 15:00,2016,10,7,15,12.2
161,07/10/2016 16:00,2016,10,7,16,12.7
162,07/10/2016 17:00,2016,10,7,17,11.2
163,07/10/2016 18:00,2016,10,7,18,11.2
164,07/10/2016 19:00,2016,10,7,19,10.1
165,07/10/2016 20:00,2016,10,7,20,9.9
166,07/10/2016 21:00,2016,10,7,21,10.7
167,07/10/2016 22:00,2016,10,7,22,10.6
168,07/10/2016 23:00,2016,10,7,23,11.3
169,08/10/2016 00:00,2016,10,8,0,10.1
170,08/10/2016 01:00,2016,10,8,1,10
171,08/10/2016 02:00,2016,10,8,2,9.8
172,08/10/2016 03:00,2016,10,8,3,9.8
173,08/10/2016 04:00,2016,10,8,4,9.5
174,08/10/2016 05:00,2016,10,8,5,8.7
175,08/10/2016 06:00,2016,10,8,6,9.9
176,08/10/2016 07:00,2016,10,8,7,10.7
177,08/10/2016 08:00,2016,10,8,8,10.2
178,08/10/2016 09:00,2016,10,8,9,11.8
179,08/10/2016 10:00,2016,10,8,10,12.7
180,08/10/2016 11:00,2016,10,8,11,13.1
181,08/10/2016 12:00,2016,10,8,12,12.5
182,08/10/2016 13:00,2016,10,8,13,12.9
183,08/10/2016 14:00,2016,10,8,14,13
184,08/10/2016 15:00,2016,10,8,15,12.8
185,08/10/2016 16:00,2016,10,8,16,12
186,08/10/2016 17:00,2016,10,8,17,10.2
187,08/10/2016 18:00,2016,10,8,18,8.9
188,08/10/2016 19:00,2016,10,8,19,9.5
189,08/10/2016 20:00,2016,10,8,20,10.5
190,08/10/2016 21:00,2016,10,8,21,10.9
191,08/10/2016 22:00,2016,10,8,22,11.1
192,08/10/2016 23:00,2016,10,8,23,10.4
193,09/10/2016 00:00,2016,10,9,0,9.4
194,09/10/2016 01:00,2016,10,9,1,8.8
195,09/10/2016 02:00,2016,10,9,2,8.1
196,09/10/2016 03:00,2016,10,9,3,7.5
197,09/10/2016 04:00,2016,10,9,4,8.1
198,09/10/2016 05:00,2016,10,9,5,7.1
199,09/10/2016 06:00,2016,10,9,6,7
200,09/10/2016 07:00,2016,10,9,7,7.9
201,09/10/2016 08:00,2016,10,9,8,9.8
202,09/10/2016 09:00,2016,10,9,9,11.5
203,09/10/2016 10:00,2016,10,9,10,12.2
204,09/10/2016 11:00,2016,10,9,11,12.9
205,09/10/2016 12:00,2016,10,9,12,13.4
206,09/10/2016 13:00,2016,10,9,13,13.7
207,09/10/2016 14:00,2016,10,9,14,13.7
208,09/10/2016 15:00,2016,10,9,15,12.9
209,09/10/2016 16:00,2016,10,9,16,12.1
210,09/10/2016 17:00,2016,10,9,17,9.2
211,09/10/2016 18:00,2016,10,9,18,7.3
212,09/10/2016 19:00,2016,10,9,19,7.3
213,09/10/2016 20:00,2016,10,9,20,7
214,09/10/2016 21:00,2016,10,9,21,6.9
215,09/10/2016 22:00,2016,10,9,22,6.7
216,09/10/2016 23:00,2016,10,9,23,6.7
217,10/10/2016 00:00,2016,10,10,0,6.2
218,10/10/2016 01:00,2016,10,10,1,6.2
219,10/10/2016 02:00,2016,10,10,2,5.6
220,10/10/2016 03:00,2016,10,10,3,5.6
221,10/10/2016 04:00,2016,10,10,4,6
222,10/10/2016 05:00,2016,10,10,5,7.3
223,10/10/2016 06:00,2016,10,10,6,7.5
224,10/10/2016 07:00,2016,10,10,7,6.2
225,10/10/2016 08:00,2016,10,10,8,8.1
226,10/10/2016 09:00,2016,10,10,9,10.4
227,10/10/2016 10:00,2016,10,10,10,11.4
228,10/10/2016 11:00,2016,10,10,11,12.3
229,10/10/2016 12:00,2016,10,10,12,11.6
230,10/10/2016 13:00,2016,10,10,13,11.8
231,10/10/2016 14:00,2016,10,10,14,12.3
232,10/10/2016 15:00,2016,10,10,15,12.3
233,10/10/2016 16:00,2016,10,10,16,11.1
234,10/10/2016 17:00,2016,10,10,17,10.4
235,10/10/2016 18:00,2016,10,10,18,7.5
236,10/10/2016 19:00,2016,10,10,19,7.1
237,10/10/2016 20:00,2016,10,10,20,7.1
238,10/10/2016 21:00,2016,10,10,21,7.3
239,10/10/2016 22:00,2016,10,10,22,7.6
240,10/10/2016 23:00,2016,10,10,23,7.4
241,11/10/2016 00:00,2016,10,11,0,7.2
242,11/10/2016 01:00,2016,10,11,1,6.9
243,11/10/2016 02:00,2016,10,11,2,6.6
244,11/10/2016 03:00,2016,10,11,3,6.4
245,11/10/2016 04:00,2016,10,11,4,6
246,11/10/2016 05:00,2016,10,11,5,6.6
247,11/10/2016 06:00,2016,10,11,6,6.7
248,11/10/2016 07:00,2016,10,11,7,6.8
249,11/10/2016 08:00,2016,10,11,8,8.2
250,11/10/2016 09:00,2016,10,11,9,10.7
251,11/10/2016 10:00,2016,10,11,10,11.4
252,11/10/2016 11:00,2016,10,11,11,12.1
253,11/10/2016 12:00,2016,10,11,12,11.8
254,11/10/2016 13:00,2016,10,11,13,12.2
255,11/10/2016 14:00,2016,10,11,14,12.7
256,11/10/2016 15:00,2016,10,11,15,11
257,11/10/2016 16:00,2016,10,11,16,11.6
258,11/10/2016 17:00,2016,10,11,17,8.9
259,11/10/2016 18:00,2016,10,11,18,9.7
260,11/10/2016 19:00,2016,10,11,19,9.2
261,11/10/2016 20:00,2016,10,11,20,7
262,11/10/2016 21:00,2016,10,11,21,6.7
263,11/10/2016 22:00,2016,10,11,22,6.7
264,11/10/2016 23:00,2016,10,11,23,6.7
265,12/10/2016 00:00,2016,10,12,0,7.6
266,12/10/2016 01:00,2016,10,12,1,7.4
267,12/10/2016 02:00,2016,10,12,2,9.2
268,12/10/2016 03:00,2016,10,12,3,8.8
269,12/10/2016 04:00,2016,10,12,4,9.4
270,12/10/2016 05:00,2016,10,12,5,9.2
271,12/10/2016 06:00,2016,10,12,6,9.3
272,12/10/2016 07:00,2016,10,12,7,9.5
273,12/10/2016 08:00,2016,10,12,8,9.3
274,12/10/2016 09:00,2016,10,12,9,10.1
275,12/10/2016 10:00,2016,10,12,10,10.2
276,12/10/2016 11:00,2016,10,12,11,10.7
277,12/10/2016 12:00,2016,10,12,12,10.5
278,12/10/2016 13:00,2016,10,12,13,11
279,12/10/2016 14:00,2016,10,12,14,11.1
280,12/10/2016 15:00,2016,10,12,15,10.5
281,12/10/2016 16:00,2016,10,12,16,9.7
282,12/10/2016 17:00,2016,10,12,17,9.7
283,12/10/2016 18:00,2016,10,12,18,8.9
284,12/10/2016 19:00,2016,10,12,19,9.6
285,12/10/2016 20:00,2016,10,12,20,9.6
286,12/10/2016 21:00,2016,10,12,21,9.9
287,12/10/2016 22:00,2016,10,12,22,9.5
288,12/10/2016 23:00,2016,10,12,23,9.9
289,13/10/2016 00:00,2016,10,13,0,9.7
290,13/10/2016 01:00,2016,10,13,1,9.4
291,13/10/2016 02:00,2016,10,13,2,9.5
292,13/10/2016 03:00,2016,10,13,3,9.2
293,13/10/2016 04:00,2016,10,13,4,9.4
294,13/10/2016 05:00,2016,10,13,5,8.9
295,13/10/2016 06:00,2016,10,13,6,9.1
296,13/10/2016 07:00,2016,10,13,7,9.4
297,13/10/2016 08:00,2016,10,13,8,9.7
298,13/10/2016 09:00,2016,10,13,9,9.9
299,13/10/2016 10:00,2016,10,13,10,9.9
300,13/10/2016 11:00,2016,10,13,11,10.7
301,13/10/2016 12:00,2016,10,13,12,12
302,13/10/2016 13:00,2016,10,13,13,11.4
303,13/10/2016 14:00,2016,10,13,14,11.6
304,13/10/2016 15:00,2016,10,13,15,11.3
305,13/10/2016 16:00,2016,10,13,16,10.6
306,13/10/2016 17:00,2016,10,13,17,10.4
307,13/10/2016 18:00,2016,10,13,18,10
308,13/10/2016 19:00,2016,10,13,19,10.2
309,13/10/2016 20:00,2016,10,13,20,10.6
310,13/10/2016 21:00,2016,10,13,21,10.8
311,13/10/2016 22:00,2016,10,13,22,10.3
312,13/10/2016 23:00,2016,10,13,23,10.6
313,14/10/2016 00:00,2016,10,14,0,10.7
314,14/10/2016 01:00,2016,10,14,1,10.5
315,14/10/2016 02:00,2016,10,14,2,10.6
