xVariable,yVariable,classification,xAxisLabel,yStart,x15000,x30000,x60000,x120000,x180000,x250000
150,14500,S1920,,10000,14500,26500,48500,80500,114000,152500
50,13573,S1011,,10000,13573,25573,48233,84233,117087,152308
