classification,xVariable,yVariable,xAxisLabel,yStart
East Midlands,12,16725,,
East Midlands,13,16974,,
East Midlands,14,17222,,
East Midlands,15,17595,,
East Midlands,16,17844,,
East Midlands,17,18092,,
East Midlands,18,18465,,
East Midlands,19,18713,,
East Midlands,20,18962,,
East Midlands,21,19210,,
East Midlands,22,19554,,
East Midlands,23,19783,,
East Midlands,24,20013,,
East Midlands,25,20242,,
East Midlands,26,20586,,
East Midlands,27,20816,,
East Midlands,28,21045,,
East Midlands,29,21389,,
East Midlands,30,21619,,
East Midlands,31,21848,,
East Midlands,32,22172,,
East Midlands,33,22387,,
East Midlands,34,22711,,
East Midlands,35,22927,,
East Midlands,36,23250,,
East Midlands,37,23466,,
East Midlands,38,23789,,
East Midlands,39,24113,,
East Midlands,40,24436,,
East Midlands,41,24760,,
East Midlands,42,25074,,
East Midlands,43,25387,,
East Midlands,44,25701,,
East Midlands,45,26014,,
East Midlands,46,26328,,
East Midlands,47,26641,,
East Midlands,48,26955,,
East Midlands,49,27268,,
East Midlands,50,27686,,
East Midlands,51,28000,,
East Midlands,52,28274,,
East Midlands,53,28639,,
East Midlands,54,29004,,
East Midlands,55,29278,,
East Midlands,56,29643,,
East Midlands,57,30099,,
East Midlands,58,30465,,
East Midlands,59,30830,,
East Midlands,60,31195,,
East Midlands,61,31560,,
East Midlands,62,31905,,
East Midlands,63,32337,,
East Midlands,64,32682,,
East Midlands,65,33114,,
East Midlands,66,33545,,
East Midlands,67,33977,,
East Midlands,68,34495,,
East Midlands,69,35013,,
East Midlands,70,35444,,
East Midlands,71,35962,,
East Midlands,72,36442,,
East Midlands,73,37002,,
East Midlands,74,37483,,
East Midlands,75,38043,,
East Midlands,76,38683,,
East Midlands,77,39243,,
East Midlands,78,39883,,
East Midlands,79,40524,,
East Midlands,80,41244,,
East Midlands,81,41884,,
East Midlands,82,42665,,
East Midlands,83,43446,,
East Midlands,84,44149,,
East Midlands,85,44774,,
East Midlands,86,45711,,
East Midlands,87,46727,,
East Midlands,88,47977,,
East Midlands,89,49383,,
East Midlands,90,50789,,
East Midlands,91,52507,,
West Midlands,11,16597,,
West Midlands,12,16862,,
West Midlands,13,17128,,
West Midlands,14,17393,,
West Midlands,15,17792,,
West Midlands,16,18057,,
West Midlands,17,18322,,
West Midlands,18,18721,,
West Midlands,19,18986,,
West Midlands,20,19252,,
West Midlands,21,19517,,
West Midlands,22,19906,,
West Midlands,23,20166,,
West Midlands,24,20426,,
West Midlands,25,20685,,
West Midlands,26,21075,,
West Midlands,27,21335,,
West Midlands,28,21594,,
West Midlands,29,21984,,
West Midlands,30,22243,,
West Midlands,31,22503,,
West Midlands,32,22831,,
West Midlands,33,23050,,
West Midlands,34,23379,,
West Midlands,35,23598,,
West Midlands,36,23926,,
West Midlands,37,24145,,
West Midlands,38,24474,,
West Midlands,39,24802,,
West Midlands,40,25131,,
West Midlands,41,25459,,
West Midlands,42,25757,,
West Midlands,43,26055,,
West Midlands,44,26352,,
West Midlands,45,26650,,
West Midlands,46,26948,,
West Midlands,47,27246,,
West Midlands,48,27543,,
West Midlands,49,27841,,
West Midlands,50,28238,,
West Midlands,51,28536,,
West Midlands,52,28839,,
West Midlands,53,29243,,
West Midlands,54,29648,,
West Midlands,55,29951,,
West Midlands,56,30355,,
West Midlands,57,30860,,
West Midlands,58,31264,,
West Midlands,59,31669,,
West Midlands,60,32073,,
West Midlands,61,32477,,
West Midlands,62,32859,,
West Midlands,63,33336,,
