xVariable,yVariable,classification,xAxisLabel,yStart,marginalTaxRate,countA
83500,62600,PlotData,,,0.4,1
84000,62900,PlotData,,,0.4,1
84500,63200,PlotData,,,0.4,1
85000,63500,PlotData,,,0.4,1
85500,63800,PlotData,,,0.4,1
86000,64100,PlotData,,,0.4,1
86500,64400,PlotData,,,0.4,1
87000,64700,PlotData,,,0.4,1
87500,65000,PlotData,,,0.4,1
88000,65300,PlotData,,,0.4,1
88500,65600,PlotData,,,0.4,1
89000,65900,PlotData,,,0.4,1
89500,66200,PlotData,,,0.4,1
90000,66500,PlotData,,,0.4,1
90500,66800,PlotData,,,0.4,1
91000,67100,PlotData,,,0.4,1
91500,67400,PlotData,,,0.4,1
92000,67700,PlotData,,,0.4,1
92500,68000,PlotData,,,0.4,1
93000,68300,PlotData,,,0.4,1
93500,68600,PlotData,,,0.4,1
94000,68900,PlotData,,,0.4,1
94500,69200,PlotData,,,0.4,1
95000,69500,PlotData,,,0.4,1
95500,69800,PlotData,,,0.4,1
96000,70100,PlotData,,,0.4,1
96500,70400,PlotData,,,0.4,1
97000,70700,PlotData,,,0.4,1
97500,71000,PlotData,,,0.4,1
98000,71300,PlotData,,,0.4,1
98500,71600,PlotData,,,0.4,1
99000,71900,PlotData,,,0.4,1
99500,72200,PlotData,,,0.4,1
100000,72500,PlotData,,,0.4,1
100000,72500,PlotData,,,0.6,2
100500,72700,PlotData,,,0.6,1
101000,72900,PlotData,,,0.6,1
101500,73100,PlotData,,,0.6,1
102000,73300,PlotData,,,0.6,1
102500,73500,PlotData,,,0.6,1
103000,73700,PlotData,,,0.6,1
103500,73900,PlotData,,,0.6,1
104000,74100,PlotData,,,0.6,1
104500,74300,PlotData,,,0.6,1
105000,74500,PlotData,,,0.6,1
105500,74700,PlotData,,,0.6,1
106000,74900,PlotData,,,0.6,1
106500,75100,PlotData,,,0.6,1
107000,75300,PlotData,,,0.6,1
107500,75500,PlotData,,,0.6,1
108000,75700,PlotData,,,0.6,1
108500,75900,PlotData,,,0.6,1
109000,76100,PlotData,,,0.6,1
109500,76300,PlotData,,,0.6,1
110000,76500,PlotData,,,0.6,1
110500,76700,PlotData,,,0.6,1
111000,76900,PlotData,,,0.6,1
111500,77100,PlotData,,,0.6,1
112000,77300,PlotData,,,0.6,1
112500,77500,PlotData,,,0.6,1
113000,77700,PlotData,,,0.6,1
113500,77900,PlotData,,,0.6,1
114000,78100,PlotData,,,0.6,1
114500,78300,PlotData,,,0.6,1
115000,78500,PlotData,,,0.6,1
115500,78700,PlotData,,,0.6,1
116000,78900,PlotData,,,0.6,1
116500,79100,PlotData,,,0.6,1
117000,79300,PlotData,,,0.6,1
117500,79500,PlotData,,,0.6,1
118000,79700,PlotData,,,0.6,1
118500,79900,PlotData,,,0.6,1
119000,80100,PlotData,,,0.6,1
119500,80300,PlotData,,,0.6,1
120000,80500,PlotData,,,0.6,1
120500,80700,PlotData,,,0.6,1
121000,80900,PlotData,,,0.6,1
121500,81100,PlotData,,,0.6,1
122000,81300,PlotData,,,0.6,1
122500,81500,PlotData,,,0.6,1
123000,81700,PlotData,,,0.6,1
123500,81900,PlotData,,,0.6,1
124000,82100,PlotData,,,0.6,1
124500,82300,PlotData,,,0.6,1
125000,82500,PlotData,,,0.6,1
125000,82500,PlotData,,,0.4,2
125500,82800,PlotData,,,0.4,1
126000,83100,PlotData,,,0.4,1
126500,83400,PlotData,,,0.4,1
127000,83700,PlotData,,,0.4,1
127500,84000,PlotData,,,0.4,1
128000,84300,PlotData,,,0.4,1
128500,84600,PlotData,,,0.4,1
129000,84900,PlotData,,,0.4,1
129500,85200,PlotData,,,0.4,1
130000,85500,PlotData,,,0.4,1
130500,85800,PlotData,,,0.4,1
131000,86100,PlotData,,,0.4,1
131500,86400,PlotData,,,0.4,1
132000,86700,PlotData,,,0.4,1
132500,87000,PlotData,,,0.4,1
133000,87300,PlotData,,,0.4,1
133500,87600,PlotData,,,0.4,1
134000,87900,PlotData,,,0.4,1
134500,88200,PlotData,,,0.4,1
135000,88500,PlotData,,,0.4,1
135500,88800,PlotData,,,0.4,1
136000,89100,PlotData,,,0.4,1
136500,89400,PlotData,,,0.4,1
137000,89700,PlotData,,,0.4,1
137500,90000,PlotData,,,0.4,1
138000,90300,PlotData,,,0.4,1
138500,90600,PlotData,,,0.4,1
139000,90900,PlotData,,,0.4,1
139500,91200,PlotData,,,0.4,1
140000,91500,PlotData,,,0.4,1
140500,91800,PlotData,,,0.4,1
141000,92100,PlotData,,,0.4,1
141500,92400,PlotData,,,0.4,1
142000,92700,PlotData,,,0.4,1
142500,93000,PlotData,,,0.4,1
143000,93300,PlotData,,,0.4,1
143500,93600,PlotData,,,0.4,1
