classification,xVariable,yVariable
Yorkshire and The Humber,70,35293.470588235294
Yorkshire and The Humber,71,35823
Yorkshire and The Humber,72,36292.45945945946
Yorkshire and The Humber,73,36840.16216216216
Yorkshire and The Humber,74,37309.62162162162
Yorkshire and The Humber,75,37857.32432432433
Yorkshire and The Humber,76,38483.27027027027
Yorkshire and The Humber,77,39030.97297297297
Yorkshire and The Humber,78,39656.91891891892
Yorkshire and The Humber,79,40282.86486486487
Yorkshire and The Humber,80,40987.05405405405
Yorkshire and The Humber,81,41613
Yorkshire and The Humber,82,42348.44117647059
Yorkshire and The Humber,83,43083.882352941175
Yorkshire and The Humber,84,43745.779411764706
Yorkshire and The Humber,85,44334.132352941175
Yorkshire and The Humber,86,45216.66176470588
Yorkshire and The Humber,87,46172.73529411765
Yorkshire and The Humber,88,47349.44117647059
Yorkshire and The Humber,89,48673.23529411765
Yorkshire and The Humber,90,49997.029411764706
Yorkshire and The Humber,91,51615
East Midlands,11,16477
East Midlands,12,16725.454545454544
East Midlands,13,16973.909090909092
East Midlands,14,17222.363636363636
East Midlands,15,17595.045454545456
East Midlands,16,17843.5
East Midlands,17,18091.954545454544
East Midlands,18,18464.636363636364
East Midlands,19,18713.090909090908
East Midlands,20,18961.545454545456
East Midlands,21,19210
East Midlands,22,19554.08695652174
East Midlands,23,19783.478260869564
East Midlands,24,20012.869565217392
East Midlands,25,20242.260869565216
East Midlands,26,20586.347826086956
East Midlands,27,20815.739130434784
East Midlands,28,21045.130434782608
East Midlands,29,21389.217391304348
East Midlands,30,21618.608695652176
East Midlands,31,21848
East Midlands,32,22171.555555555555
East Midlands,33,22387.25925925926
East Midlands,34,22710.814814814814
East Midlands,35,22926.51851851852
East Midlands,36,23250.074074074073
East Midlands,37,23465.777777777777
East Midlands,38,23789.333333333332
East Midlands,39,24112.88888888889
East Midlands,40,24436.444444444445
East Midlands,41,24760
East Midlands,42,25073.548387096773
East Midlands,43,25387.09677419355
East Midlands,44,25700.645161290322
East Midlands,45,26014.1935483871
East Midlands,46,26327.74193548387
East Midlands,47,26641.290322580644
East Midlands,48,26954.83870967742
East Midlands,49,27268.387096774193
East Midlands,50,27686.451612903227
East Midlands,51,28000
East Midlands,52,28273.846153846152
East Midlands,53,28638.97435897436
East Midlands,54,29004.102564102563
East Midlands,55,29277.94871794872
East Midlands,56,29643.076923076922
East Midlands,57,30099.48717948718
East Midlands,58,30464.615384615383
East Midlands,59,30829.74358974359
East Midlands,60,31194.871794871797
East Midlands,61,31560
East Midlands,62,31905.254901960783
East Midlands,63,32336.823529411766
East Midlands,64,32682.07843137255
East Midlands,65,33113.64705882353
East Midlands,66,33545.21568627451
East Midlands,67,33976.78431372549
East Midlands,68,34494.666666666664
East Midlands,69,35012.549019607846
East Midlands,70,35444.117647058825
East Midlands,71,35962
East Midlands,72,36442.16216216216
East Midlands,73,37002.35135135135
East Midlands,74,37482.51351351351
East Midlands,75,38042.7027027027
East Midlands,76,38682.91891891892
East Midlands,77,39243.10810810811
East Midlands,78,39883.32432432433
East Midlands,79,40523.54054054054
East Midlands,80,41243.78378378379
East Midlands,81,41884
East Midlands,82,42665.10294117647
East Midlands,83,43446.205882352944
East Midlands,84,44149.19852941176
East Midlands,85,44774.080882352944
East Midlands,86,45711.404411764706
East Midlands,87,46726.83823529412
East Midlands,88,47976.60294117647
East Midlands,89,49382.58823529412
East Midlands,90,50788.57352941176
East Midlands,91,52507
West Midlands,11,16597
West Midlands,12,16862.454545454544
West Midlands,13,17127.909090909092
West Midlands,14,17393.363636363636
West Midlands,15,17791.545454545456
West Midlands,16,18057.0
West Midlands,17,18322.454545454544
West Midlands,18,18720.636363636364
West Midlands,19,18986.090909090908
West Midlands,20,19251.545454545456
West Midlands,21,19517
West Midlands,22,19906.478260869564
West Midlands,23,20166.130434782608
West Midlands,24,20425.782608695652
West Midlands,25,20685.434782608696
West Midlands,26,21074.91304347826
West Midlands,27,21334.565217391304
West Midlands,28,21594.217391304348
West Midlands,29,21983.695652173912
West Midlands,30,22243.347826086956
West Midlands,31,22503
West Midlands,32,22831.444444444445
West Midlands,33,23050.40740740741
West Midlands,34,23378.85185185185
West Midlands,35,23597.814814814814
West Midlands,36,23926.25925925926
West Midlands,37,24145.222222222223
West Midlands,38,24473.666666666668
West Midlands,39,24802.11111111111
West Midlands,40,25130.555555555555
West Midlands,41,25459
West Midlands,42,25756.774193548386
West Midlands,43,26054.548387096773
West Midlands,44,26352.322580645163
West Midlands,45,26650.09677419355
West Midlands,46,26947.870967741936
West Midlands,47,27245.645161290322
West Midlands,48,27543.41935483871
West Midlands,49,27841.1935483871
West Midlands,50,28238.225806451614
West Midlands,51,28536
West Midlands,52,28839.153846153848
West Midlands,53,29243.358974358973
West Midlands,54,29647.5641025641
West Midlands,55,29950.71794871795
West Midlands,56,30354.923076923078
West Midlands,57,30860.17948717949
West Midlands,58,31264.384615384617
West Midlands,59,31668.589743589742
West Midlands,60,32072.79487179487
West Midlands,61,32477
West Midlands,62,32858.80392156863
West Midlands,63,33336.05882352941
West Midlands,64,33717.86274509804
West Midlands,65,34195.117647058825
West Midlands,66,34672.37254901961
West Midlands,67,35149.62745098039
West Midlands,68,35722.333333333336
West Midlands,69,36295.03921568627
West Midlands,70,36772.294117647056
West Midlands,71,37345
West Midlands,72,37842.51351351351
West Midlands,73,38422.94594594595
West Midlands,74,38920.45945945946
West Midlands,75,39500.89189189189
West Midlands,76,40164.24324324324
West Midlands,77,40744.67567567567
West Midlands,78,41408.02702702703
West Midlands,79,42071.37837837838
West Midlands,80,42817.64864864865
West Midlands,81,43481
West Midlands,82,44279.382352941175
West Midlands,83,45077.76470588235
West Midlands,84,45796.30882352941
West Midlands,85,46435.01470588235
West Midlands,86,47393.07352941176
West Midlands,87,48430.970588235294
West Midlands,88,49708.382352941175
