OccupationCode,11,21,31,41,51,61,71,81,91
OC0,17189,20327,23483,26698,30353,34583,39591,46485,60890
OC11,22764,29393,35292,41343,48557,57184,67957,84785,117380
OC212,26414,32048,35578,39139,42627,45863,49970,55516,64718
OC2211,30879,40461,50106,59802,72019,87665,101746,116984,135574
OC2231,21998,26442,28925,31082,33242,35884,38563,41889,46675
OC23,24175,28503,32764,35922,38668,41314,44844,49804,57936
OC2413,NULL,32000,36174,40092,42494,NULL,NULL,NULL,NULL
OC2421,22551,28615,31978,35000,38805,42625,47829,53010,NULL
OC2423,24291,29110,33345,37843,41695,46282,52979,61161,NULL
OC2471,22774,25867,27687,31001,34064,38640,43538,NULL,NULL
OC3213,29984,34564,36439,38438,39605,40998,42703,45175,NULL
OC3312,27269,32418,37972,39867,41284,42984,45066,47491,51469
OC3313,29121,31688,32700,34651,36321,37686,38624,41411,NULL
OC3534,21995,26436,30863,33572,36596,40734,45408,54433,NULL
OC5241,19476,25045,28663,31202,33176,35689,38089,42182,48043
OC531,18262,21493,23734,25865,27459,29375,31692,34865,38598
OC5314,19992,24593,27098,29262,31370,33649,36046,38354,NULL
OC5315,17699,20909,23619,25567,27053,29003,30880,33137,NULL
OC6145,12898,14942,16400,17920,19104,20612,22523,24781,28290
OC71,13617,15450,16644,17780,18997,20728,22598,25505,30643
OC72,16000,17818,19414,20900,22682,24535,27053,30906,37664
OC8211,21032,24329,26631,28724,30516,32554,34345,36944,40753
OC9241,16828,19086,20991,22961,25043,27253,29595,32303,36235
OC522,19493,22945,26124,29084,32102,35137,38802,43315,49975
OC5231,16384,20611,23623,26386,28343,30574,32925,36236,NULL
